#        ipie  no           determinant  chunking                                                                  
ndet     isim  tot          block        setup       energy      greens    prop      gemm      overlap   vhs       vbias
10       0     25.288213    3.227607     7.227404    1.457698    0.011599  0.070145  0.007222  0.003254  0.008085  0.039149
100      0     24.915529    3.230678     6.887867    1.456358    0.011689  0.070336  0.007214  0.003303  0.007958  0.039307
1000     0     31.617917    3.507959     11.124045   1.697787    0.012299  0.071769  0.007209  0.003579  0.007988  0.039822
10000    0     56.031261    6.923148     16.073461   4.837277    0.018823  0.082799  0.007271  0.008187  0.008039  0.039592
100000   0     335.912506   52.460133    67.842273   42.390902   0.291574  0.402098  0.007370  0.054568  0.008096  0.039536
10       1     24.906218    3.227451     6.861978    1.414119    0.011874  0.071894  0.007284  0.003300  0.008022  0.040555
100      1     25.691770    3.367015     6.948339    1.460016    0.011971  0.075639  0.007291  0.007005  0.008046  0.040459
1000     1     31.824106    3.534449     11.178868   1.702760    0.012339  0.072632  0.007284  0.003553  0.008199  0.040368
10000    1     55.998222    6.892411     16.117100   4.841370    0.019092  0.081405  0.007262  0.005884  0.008106  0.040173
100000   1     336.169177   52.661296    67.070610   42.519547   0.293867  0.405007  0.007329  0.054279  0.008231  0.040351
10       2     24.884684    3.222503     6.887087    1.432179    0.011556  0.070987  0.007238  0.003265  0.008160  0.039920
100      2     25.124037    3.262187     6.936990    1.451491    0.011919  0.071787  0.007256  0.003318  0.007966  0.040454
1000     2     31.658933    3.508026     11.162417   1.701222    0.012280  0.071645  0.007184  0.003565  0.008103  0.039643
10000    2     55.873662    6.891554     16.076698   4.844497    0.019211  0.081251  0.007268  0.005830  0.008092  0.039966
100000   2     336.521280   52.689428    67.267363   42.614188   0.291430  0.402350  0.007345  0.053910  0.008201  0.040520
10       3     24.982701    3.240211     6.894834    1.439293    0.011817  0.071398  0.007317  0.003298  0.007984  0.040138
100      3     25.173981    3.278449     6.917831    1.459036    0.011843  0.072135  0.007220  0.003321  0.007924  0.040944
1000     3     31.729910    3.523270     11.156787   1.697428    0.012363  0.072400  0.007228  0.003513  0.008166  0.040239
10000    3     55.828219    6.875915     16.094050   4.827175    0.018918  0.081319  0.007290  0.005800  0.008131  0.040298
100000   3     336.008491   52.603949    67.194125   42.517318   0.292014  0.402804  0.007285  0.054290  0.008171  0.040100
10       4     24.949228    3.237345     6.878945    1.422409    0.011841  0.071955  0.007253  0.003298  0.008038  0.040676
100      4     25.229012    3.282016     6.938733    1.471109    0.011880  0.071797  0.007273  0.003295  0.007999  0.040485
1000     4     31.706733    3.517209     11.159752   1.703798    0.012217  0.071895  0.007252  0.003494  0.008128  0.039931
10000    4     56.037459    6.919919     16.108313   4.851827    0.019273  0.082084  0.007308  0.005911  0.008189  0.040522
100000   4     337.896044   52.894874    67.639312   42.571314   0.293512  0.412270  0.007341  0.061502  0.008208  0.040760
1000000  0     4150.758108  697.725399   646.972818  494.806158  7.035221  8.115989  0.007329  1.022924  0.008082  0.041433
1000000  1     4127.957702  694.362909   640.824272  491.647215  7.028694  8.107936  0.007328  1.021304  0.008292  0.041314
1000000  2     4138.251055  695.050768   647.656580  491.946998  7.042180  8.123460  0.007409  1.023011  0.008234  0.041619
1000000  3     4137.332171  695.803004   642.945935  492.191036  7.060752  8.143780  0.007428  1.024874  0.008219  0.041510
1000000  4     4141.920900  696.446240   644.364928  490.859714  7.132009  8.222762  0.007349  1.032570  0.008276  0.041561
