ndet   isim  block          energy         greens       prop         vhs          vbias
10     0     1.411535958    0.159324269    0.002454202  0.004971321  0.028853770  0.009594586
100    0     3.215675338    1.777448815    0.003826808  0.004997629  0.028865105  0.015185336
1000   0     51.395320683   49.266572070   0.010351754  0.005316024  0.028883927  0.032714894
10000  0     925.968301625  921.734384425  0.045913880  0.005239930  0.028885180  0.055768690
10     1     1.410538793    0.159850740    0.002432480  0.004965892  0.028807654  0.009595009
100    1     3.188535886    1.738609811    0.003877043  0.005060532  0.028831442  0.015584830
1000   1     50.690764544   48.557175633   0.010402563  0.005368697  0.028915454  0.032789925
10000  1     928.978091097  924.751109940  0.045797535  0.005225574  0.028869687  0.055450652
10     2     1.413958522    0.159655760    0.002443301  0.005026509  0.028853449  0.009622106
100    2     3.195266149    1.747889569    0.003862824  0.005052084  0.028905680  0.015416512
1000   2     50.899366032   48.769256984   0.010350861  0.005350923  0.028917469  0.032714527
10000  2     921.789084478  917.567733066  0.045670392  0.005207303  0.028887538  0.055489662
10     3     1.413189013    0.159057356    0.002469548  0.005011438  0.028837972  0.009624582
100    3     3.219150352    1.776530979    0.003860729  0.005090971  0.028882645  0.015192861
1000   3     49.656348568   47.481962921   0.010553892  0.005215830  0.028914947  0.034266702
10000  3     906.786430649  902.547425767  0.045996808  0.005229632  0.028882851  0.055898167
10     4     1.412122561    0.159455368    0.002447046  0.005000975  0.028817109  0.009602172
100    4     3.185263716    1.739010357    0.003839917  0.005162231  0.028865721  0.015324113
1000   4     52.140374224   50.008447623   0.010393363  0.005264536  0.028929905  0.032810986
10000  4     988.886728491  984.651843565  0.045645547  0.005180407  0.028869333  0.056163674
