ndet     isim  energy     prop       total
10       0     7.6534739  12.259191  23.157934
100      0     7.7666166  12.008387  22.760316
1000     0     8.6383698  12.422461  24.374686
10000    0     27.739138  14.684952  52.196785
100000   0     293.18888  44.5299    437.70868
10       1     7.6553762  12.100701  22.719883
100      1     7.6724741  12.311146  22.953837
1000     1     8.7114012  12.203055  24.224452
10000    1     27.661065  14.81025   52.209671
100000   1     293.54837  44.594324  438.13043
10       2     7.6166666  12.020353  22.593394
100      2     7.7173579  12.151108  22.851891
1000     2     8.6734838  12.244761  24.218448
10000    2     27.641512  14.892105  52.305379
100000   2     292.9503   45.662634  438.37967
10       3     7.6323946  12.133999  22.71319
100      3     7.7154977  12.07247   22.766525
1000     3     8.679117   12.312741  24.298512
10000    3     27.795313  14.724317  52.331985
100000   3     292.71303  44.571829  437.06714
10       4     7.6171551  12.158705  22.726118
100      4     7.7073448  11.996171  22.677575
1000     4     8.716773   12.266929  24.30529
10000    4     27.750256  14.70427   52.253886
100000   4     292.22616  44.55708   436.40964
1000000  0     6420.4867  444.76846  8905.8473
1000000  1     6440.5737  445.41275  8933.3134
1000000  2     6446.5366  445.1197   8939.7393
1000000  3     6469.0338  447.19867  8975.5307
1000000  4     6441.9198  446.55215  8934.9238
