#        ipie  no           determinant  chunking                                                                  
ndet     isim  tot          block        setup       energy      greens    prop      gemm      overlap   vhs       vbias
10       0     9.103608     0.562777     5.030524    0.220027    0.004139  0.012977  0.003583  0.003448  0.000518  0.000917
100      0     9.944853     0.568799     5.249768    0.226543    0.004241  0.013025  0.003585  0.003472  0.000493  0.000870
500      0     10.202552    0.598346     5.357493    0.251146    0.004377  0.013200  0.003539  0.003533  0.000497  0.000857
1000     0     10.555047    0.645150     5.475810    0.286365    0.004726  0.013675  0.003605  0.003634  0.000490  0.000827
10000    0     24.682091    1.442727     12.124246   0.894039    0.009579  0.021252  0.003667  0.005403  0.000623  0.001539
40000    0     47.484592    4.423699     19.846404   3.038741    0.034436  0.054686  0.003727  0.013479  0.000739  0.001784
60000    0     64.592789    6.768824     25.226365   4.688078    0.055934  0.082509  0.003658  0.019891  0.000726  0.001774
100000   0     108.523440   13.118657    37.254527   9.012931    0.120306  0.163505  0.003666  0.036566  0.000693  0.001741
10       1     8.482328     0.559789     4.500996    0.220439    0.004142  0.012896  0.003570  0.003456  0.000494  0.000862
100      1     9.987463     0.573670     5.263981    0.227542    0.004271  0.013162  0.003616  0.003492  0.000510  0.000905
500      1     10.197202    0.600541     5.344338    0.249288    0.004425  0.013364  0.003632  0.003537  0.000492  0.000874
1000     1     10.592058    0.647944     5.487792    0.287268    0.004731  0.013744  0.003583  0.003634  0.000508  0.000888
10000    1     24.606206    1.440983     12.073506   0.896399    0.009568  0.021100  0.003584  0.005382  0.000619  0.001510
40000    1     47.540549    4.430607     19.880865   3.042750    0.034599  0.054798  0.003685  0.013490  0.000728  0.001776
60000    1     64.686090    6.799023     25.168034   4.684560    0.057202  0.083861  0.003665  0.019912  0.000728  0.001816
100000   1     109.120703   13.135769    37.740989   8.994097    0.121600  0.164943  0.003702  0.036609  0.000705  0.001787
10       2     8.443801     0.558489     4.461327    0.219030    0.004144  0.012904  0.003593  0.003442  0.000492  0.000862
100      2     9.967160     0.569570     5.265880    0.225583    0.004249  0.013086  0.003586  0.003469  0.000500  0.000913
500      2     10.215351    0.600913     5.346965    0.250529    0.004433  0.013339  0.003564  0.003531  0.000511  0.000898
1000     2     10.607616    0.654149     5.483097    0.286425    0.004778  0.014020  0.003663  0.003653  0.000525  0.001001
10000    2     24.676474    1.435375     12.163025   0.891404    0.009611  0.021066  0.003580  0.005332  0.000628  0.001474
40000    2     47.449790    4.426160     19.837261   3.031721    0.034684  0.055065  0.003709  0.013591  0.000741  0.001818
60000    2     64.702902    6.758937     25.367670   4.666036    0.056389  0.082996  0.003672  0.019829  0.000729  0.001842
100000   2     109.063109   13.132066    37.697865   8.996901    0.121269  0.164694  0.003763  0.036655  0.000703  0.001763
10       3     8.479677     0.558640     4.493557    0.221477    0.004102  0.012817  0.003580  0.003429  0.000487  0.000850
100      3     9.944288     0.566976     5.256769    0.225756    0.004216  0.012974  0.003570  0.003471  0.000492  0.000860
500      3     10.216215    0.602874     5.350890    0.249571    0.004458  0.013436  0.003603  0.003555  0.000508  0.000914
1000     3     10.578114    0.647016     5.482485    0.286199    0.004739  0.013753  0.003613  0.003623  0.000500  0.000884
10000    3     24.604657    1.441980     12.060090   0.891364    0.009724  0.021338  0.003618  0.005404  0.000637  0.001514
40000    3     47.351586    4.423761     19.748469   3.036980    0.034575  0.054765  0.003688  0.013503  0.000706  0.001773
60000    3     64.843530    6.800186     25.320197   4.675162    0.057592  0.084286  0.003735  0.019889  0.000737  0.001805
100000   3     108.718662   13.078650    37.631904   8.977644    0.119970  0.163317  0.003664  0.036638  0.000698  0.001806
10       4     8.449431     0.559075     4.466853    0.220737    0.004127  0.012844  0.003523  0.003473  0.000499  0.000843
100      4     9.926850     0.565760     5.247137    0.224474    0.004212  0.012978  0.003571  0.003473  0.000489  0.000864
500      4     10.224413    0.598113     5.370874    0.249696    0.004397  0.013259  0.003556  0.003546  0.000500  0.000868
1000     4     10.807119    0.694775     5.478604    0.332639    0.004721  0.013800  0.003585  0.003667  0.000502  0.000934
10000    4     24.839964    1.443913     12.094149   0.893066    0.009767  0.021348  0.003619  0.005497  0.000608  0.001419
40000    4     47.613062    4.430395     19.973566   3.029622    0.035044  0.055318  0.003733  0.013533  0.000701  0.001782
60000    4     64.777325    6.781544     25.374444   4.681148    0.056564  0.083297  0.003706  0.019967  0.000720  0.001801
100000   4     108.815886   13.164216    37.304181   9.047076    0.120513  0.163964  0.003672  0.036723  0.000707  0.001808
1000000  0     1346.212462  201.413952   325.994985  118.784092  2.602628  3.304343  0.003845  0.694693  0.000768  0.001818
1000000  1     1340.435569  200.066970   326.918353  117.618188  2.594817  3.297203  0.003808  0.695354  0.000775  0.001854
1000000  2     1347.789883  200.842358   330.430719  117.914682  2.611582  3.316351  0.003843  0.697636  0.000796  0.001905
1000000  3     1342.135326  200.387856   326.920072  117.660396  2.602358  3.308348  0.003803  0.698884  0.000786  0.001924
1000000  4     1350.462440  200.922287   332.527724  118.232918  2.600209  3.306819  0.003841  0.699488  0.000767  0.001905
