ndet   isim  block         energy        greens       prop         vhs          vbias
10     0     0.449468967   0.142311346   0.002589642  0.002217443  0.001634246  0.002159063
100    0     1.384437502   1.031368005   0.003549934  0.002222609  0.001634091  0.002597199
500    0     5.736320120   5.260528235   0.006226700  0.002219970  0.001636995  0.003266924
1000   0     12.449174419  11.841928095  0.009193878  0.002216416  0.001636394  0.003744705
10000  0     71.687409114  69.771122544  0.037828880  0.002224522  0.001640229  0.003775232
10     1     0.449611050   0.142272692   0.002602988  0.002226858  0.001638565  0.002162256
100    1     1.384917600   1.031155874   0.003565139  0.002229510  0.001637152  0.002599269
500    1     5.736267096   5.260665404   0.006221681  0.002216607  0.001641482  0.003263931
1000   1     12.439071093  11.833674815  0.009102750  0.002216047  0.001634413  0.003740252
10000  1     69.841443798  67.921687642  0.037333376  0.002234004  0.001640767  0.003741461
10     2     0.453465539   0.146072322   0.002606330  0.002227955  0.001636884  0.002164410
100    2     1.313852876   0.960950787   0.003529277  0.002223749  0.001633483  0.002599286
500    2     5.743126153   5.265702657   0.006281302  0.002220810  0.001635985  0.003273606
1000   2     12.460310848  11.842268833  0.009352816  0.002218820  0.001639464  0.003747090
10000  2     71.592463003  69.679918092  0.037655146  0.002228213  0.001643160  0.003809998
10     3     0.450290355   0.142685637   0.002614737  0.002226935  0.001636520  0.002160402
100    3     1.383855058   1.029987385   0.003560066  0.002225479  0.001637088  0.002603480
500    3     5.745094305   5.267817012   0.006247209  0.002218565  0.001638354  0.003277034
1000   3     12.426143925  11.818119504  0.009155526  0.002228263  0.001632373  0.003767639
10000  3     71.616058825  69.711260834  0.037578852  0.002232901  0.001639897  0.003742537
10     4     0.454121258   0.146140012   0.002628649  0.002227438  0.001636531  0.002168032
100    4     1.382566842   1.029253382   0.003548625  0.002225048  0.001637917  0.002599835
500    4     5.609327226   5.131827095   0.006261378  0.002225872  0.001639293  0.003269537
1000   4     12.163501576  11.555198711  0.009197820  0.002225066  0.001640760  0.003743009
10000  4     72.422422873  70.521824900  0.037450451  0.002221062  0.001634489  0.003737093
