ndet     isim  energy      prop       total
10       0     0.80003214  1.6583464  2.7971771
100      0     0.82076478  1.6652093  2.8197732
500      0     0.9065268   1.7431931  3.01494
1000     0     1.023978    1.8427095  3.2734399
10000    0     3.325994    3.5734541  8.118989
40000    0     11.993504   9.3984029  25.633964
60000    0     20.499016   13.859557  41.604169
100000   0     44.833452   25.189463  85.598069
10       1     0.80380201  1.6477582  2.7827508
100      1     0.81883192  1.6660299  2.8193021
500      1     0.9149282   1.748311   3.0306849
1000     1     1.0422649   1.8528395  3.306061
10000    1     3.3679118   3.6021869  8.202764
40000    1     12.048835   9.4287055  25.769675
60000    1     20.176646   13.806334  41.104346
100000   1     44.910713   25.162652  85.728287
10       2     0.79865098  1.6535387  2.7833169
100      2     0.81790709  1.6670704  2.818156
500      2     0.9094553   1.7450314  3.0204101
1000     2     1.036221    1.8474395  3.296381
10000    2     3.3390625   3.5852199  8.1530211
40000    2     12.144537   9.4357197  25.908049
60000    2     20.222463   13.872686  41.242991
100000   2     44.975713   25.146789  85.793315
10       3     0.80108619  1.6468873  2.778388
100      3     0.81902266  1.6657417  2.817908
500      3     0.90963387  1.7477117  3.0235782
1000     3     1.0274892   1.8524826  3.2895942
10000    3     3.3516009   3.5949826  8.1831651
40000    3     12.085354   9.5331614  25.929522
60000    3     20.303662   13.832686  41.304861
100000   3     45.068933   25.175894  85.945225
10       4     0.79831624  1.6473455  2.7761598
100      4     0.81658125  1.6620731  2.8113379
500      4     0.90880609  1.7456937  3.0215621
1000     4     1.0334897   1.8472793  3.2900209
10000    4     3.3416018   3.6166208  8.185287
40000    4     12.132898   9.5447698  25.998571
60000    4     20.311518   13.843844  41.364375
100000   4     45.13325    25.143134  85.93169
1000000  0     642.58933   303.43275  1166.2269
1000000  1     641.93458   304.66569  1167.2119
1000000  2     639.11696   305.82772  1164.8931
1000000  3     650.09233   306.16712  1179.2878
1000000  4     642.57557   306.71606  1169.8766
